Year,Node ID,In-Degree,Key Incoming Sources,Observations
2003,Bcorr,11,"Angela, Jiang, Cyp, Ihcoyc, Cyan",Node Bcorr has significant influence from 11 sources.
2003,Michael Hardy,10,"Dysprosia, Cyp, Snoyes, Jtdirl, RickK",Node Michael Hardy has significant influence from 10 sources.
2003,Pakaran,9,"Wik, Dysprosia, Angela, Cyp, Ed Poor",Node Pakaran has significant influence from 9 sources.
2003,Arwel Parry,9,"Angela, Menchi, Hephaestos, Jwrosenzweig, G-Man",Node Arwel Parry has significant influence from 9 sources.
2003,Timwi,9,"Jiang, Daniel Quinlan, Secretlondon, Pakaran, Cyp",Node Timwi has significant influence from 9 sources.
2003,168...,7,"Cyp, Maximus Rex, Cyan, Angela, Hephaestos",Node 168... has significant influence from 7 sources.
2003,Daniel Quinlan,7,"Jiang, Ark30inf, Tim Starling, Minesweeper, Angela",Node Daniel Quinlan has significant influence from 7 sources.
2003,Finlay McWalter,7,"Dysprosia, Dori, Daniel Quinlan, Pakaran, Cimon avaro",Node Finlay McWalter has significant influence from 7 sources.
2003,Muriel Gottrop,7,"Cimon avaro, Kosebamse, Angela, Adam Bishop, Cyan",Node Muriel Gottrop has significant influence from 7 sources.
2003,Secretlondon,6,"Adam Bishop, Cyan, Wik, Snoyes, Angela",Node Secretlondon has significant influence from 6 sources.
2004,Neutrality,130,"GeneralPatton, Whosyourjudas, Kizzle, Merovingian, Wolfman",Node Neutrality has significant influence from 130 sources.
2004,Snowspinner,94,"Blankfaze, Cribcage, Neutrality, TheCustomOfLife, Raul654",Node Snowspinner has significant influence from 94 sources.
2004,Sam Spade,83,"Kim Bruning, Theresa knott, Marcus2, GeneralPatton, Anárion",Node Sam Spade has significant influence from 83 sources.
2004,Guanaco,70,"Fennec, Dysprosia, Meelar, GrazingshipIV, Stormie",Node Guanaco has significant influence from 70 sources.
2004,TheCustomOfLife,67,"Grunt, Blankfaze, CryptoDerk, Orthogonal, Neutrality",Node TheCustomOfLife has significant influence from 67 sources.
2004,Kate,63,"Michael Snow, Gtrmp, TheCustomOfLife, Antandrus, Neutrality",Node Kate has significant influence from 63 sources.
2004,Lucky 6.9,58,"Evercat, Kate, Zoney, Rhymeless, Ffirehorse",Node Lucky 6.9 has significant influence from 58 sources.
2004,Lucky 6.9.08,57,"RickK, TheCustomOfLife, Kate, Raul654, Mirv",Node Lucky 6.9.08 has significant influence from 57 sources.
2004,GeneralPatton,56,"Neutrality, Arminius, Ugen64, Gentgeen, Snowspinner",Node GeneralPatton has significant influence from 56 sources.
2004,Grunt,50,"Danny, Guanaco, Andrevan, Fennec, Ezhiki",Node Grunt has significant influence from 50 sources.
2005,BD2412,185,"DS1953, Dragons flight, Mushroom, TShilo12, Jkelly",Node BD2412 has significant influence from 185 sources.
2005,Ta bu shi da yu,165,"Knowledge Seeker, smoddy, Zzyzx11, SlimVirgin, Gadfium",Node Ta bu shi da yu has significant influence from 165 sources.
2005,Alkivar,148,"Hall Monitor, Aranda56, Trevor macinnis, Bishonen, GregAsche",Node Alkivar has significant influence from 148 sources.
2005,Uncle G,119,"Dmcdevit, Humblefool, Shimgray, Howabout1, CesarB",Node Uncle G has significant influence from 119 sources.
2005,Halibutt,116,"Goodoldpolonius2, Logologist, SoLando, Grue, Gsl",Node Halibutt has significant influence from 116 sources.
